_type,director,name,rating,star,year
ImdbItem,Tom Shadyac,The Nutty Professor,5.6,"Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller",1996
ImdbItem,Harold Ramis,Multiplicity,6,"Michael Keaton,Andie MacDowell,Zack Duhame,Katie Schlossberg",1996
ImdbItem,Adam Simon,"The Typewriter, the Rifle & the Movie Camera",7.7,"Samuel Fuller,Tim Robbins,Jim Jarmusch,Martin Scorsese",1996
ImdbItem,Brian Yuzna,The Dentist,5.2,"Corbin Bernsen,Linda Hoffman,Michael Stadvec,Ken Foree",1996
ImdbItem,"Bobby Farrelly,Peter Farrelly",Kingpin,6.9,"Woody Harrelson,Randy Quaid,Bill Murray,Vanessa Angel",1996
ImdbItem,Bronwen Hughes,Harriet the Spy,6,"Michelle Trachtenberg,Rosie O'Donnell,Gregory Smith,Vanessa Chester",1996
ImdbItem,Edward Zwick,Courage Under Fire,6.6,"Denzel Washington,Meg Ryan,Lou Diamond Phillips,Michael Moriarty",1996
ImdbItem,Peter Jackson,The Frighteners,7.1,"Michael J. Fox,Trini Alvarado,Peter Dobson,John Astin",1996
ImdbItem,Paul Michael Glaser,Kazaam,2.9,"Shaquille O'Neal,Francis Capra,Ally Walker,James Acheson",1996
ImdbItem,Kevin Hooks,Fled,5.3,"Laurence Fishburne,Stephen Baldwin,Will Patton,Robert John Burke",1996
ImdbItem,Joel Schumacher,A Time to Kill,7.4,"Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey",1996
ImdbItem,Steve Barron,Die Legende von Pinocchio,5.3,"Martin Landau,Jonathan Taylor Thomas,Genevi̬ve Bujold,Udo Kier",1996
ImdbItem,John Payson,Joe's Apartment,5.4,"Jerry O'Connell,Megan Ward,Billy West,Reginald Hudlin",1996
ImdbItem,Howard Franklin,Larger Than Life,5.6,"Bill Murray,Matthew McConaughey,Jerry Adler,Richard Alan Baker",1996
ImdbItem,Danny DeVito,Matilda,6.9,"Danny DeVito,Rhea Perlman,Mara Wilson,Embeth Davidtz",1996
ImdbItem,Andrew Davis,Chain Reaction,5.6,"Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward",1996
ImdbItem,John Landis,The Stupids,4.2,"Tom Arnold,Jessica Lundy,Bug Hall,Alex McKenna",1996
ImdbItem,John Carpenter,Escape from L.A.,5.7,"Kurt Russell,Steve Buscemi,Stacy Keach,Peter Fonda",1996
ImdbItem,Julian Schnabel,Basquiat,6.9,"Jeffrey Wright,Michael Wincott,Benicio Del Toro,Claire Forlani",1996
ImdbItem,Francis Ford Coppola,Jack,5.8,"Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez",1996
ImdbItem,Tony Scott,The Fan,5.8,"Robert De Niro,Wesley Snipes,Ellen Barkin,John Leguizamo",1996
ImdbItem,Edward Burns,She's the One,6,"Edward Burns,Jennifer Aniston,John Mahoney,Michael McGlone",1996
ImdbItem,Fraser C. Heston,Alaska,5.7,"Thora Birch,Vincent Kartheiser,Dirk Benedict,Charlton Heston",1996
ImdbItem,Keith Gordon,Mother Night,7.2,"Nick Nolte,Sheryl Lee,Anthony J. Robinow,Michael McGill",1996
ImdbItem,Ron Shelton,Tin Cup,6.3,"Kevin Costner,Rene Russo,Don Johnson,Cheech Marin",1996
ImdbItem,Gilbert Adler,Bordello of Blood,5.3,"Dennis Miller,Erika Eleniak,Angie Everhart,John Kassir",1996
ImdbItem,Robert Harmon,Gotti,7.3,"Armand Assante,Anthony Quinn,William Forsythe,Richard C. Sarafian",1996
ImdbItem,Christopher Guest,Waiting for Guffman,7.6,"Christopher Guest,Fred Willard,Catherine O'Hara,Parker Posey",1996
