_type,director,name,rating,star,year
ImdbItem,Jim Clark,Every Home Should Have One,5.1,"Marty Feldman,Judy Cornwell,Garry Miller,Shelley Berman",1970
ImdbItem,JesÃºs Franco,Count Dracula,5.8,"Christopher Lee,Herbert Lom,Klaus Kinski,Maria Rohm",1970
ImdbItem,Alan Gibson,Crescendo,5.2,"Stefanie Powers,James Olson,Margaretta Scott,Jane Lapotaire",1970
ImdbItem,David Cronenberg,Crimes of the Future,5,"Ronald Mlodzik,Jon Lidolt,Tania Zolty,Paul Mulholland",1970
ImdbItem,Jerzy Skolimowski,The Adventures of Gerard,4.9,"Peter McEnery,Claudia Cardinale,Eli Wallach,Jack Hawkins",1970
ImdbItem,Sergio Sollima,Violent City,6.6,"Charles Bronson,Telly Savalas,Jill Ireland,Umberto Orsini",1970
ImdbItem,"Laurence Olivier,John Sichel",Three Sisters,6.6,"Jeanne Watts,Joan Plowright,Louise Purnell,Derek Jacobi",1970
ImdbItem,Michael Apted,7 Plus Seven,8,"Bruce Balden,Jacqueline Bassett,Symon Basterfield,Andrew Brackfield",1970
ImdbItem,Terence Young,Cold Sweat,5.9,"Charles Bronson,James Mason,Liv Ullmann,Jill Ireland",1970
ImdbItem,Vincent Patouillard,The Longest Most Meaningless Movie in the World,5.9,,1970
ImdbItem,Norman Earl Thomson,Venus Flytrap,2.8,"James Craig,Tota Kondo,Lawrence O'Neill,Al Ricketts",1970
ImdbItem,John Hayes,Dream No Evil,4.5,"Edmond O'Brien,Brooke Mills,Marc Lawrence,Michael Pataki",1970
ImdbItem,Jack Chambers,The Hart of London,6.9,,1970
ImdbItem,Jacques Tati,Trafic,7.2,"Jacques Tati,Marcel Fraval,HonorÃ© Bostel,FranÃ§ois Maisongrosse",1971
ImdbItem,Andrew Sinclair,Under Milk Wood,6.2,"Richard Burton,Elizabeth Taylor,Peter O'Toole,Glynis Johns",1971
ImdbItem,"Mel Welles,Aureliano Luppi",Lady Frankenstein,5,"Joseph Cotten,Rosalba Neri,Paul Muller,Peter Whiteman",1971
ImdbItem,"Wei Lo,Chia-Hsiang Wu",The Big Boss,7.1,"Bruce Lee,Maria Yi,James Tien,Marilyn Bautista",1971
ImdbItem,Terence Young,Die Valachi-Papiere,6.6,"Charles Bronson,Lino Ventura,Jill Ireland,Walter Chiari",1972
ImdbItem,Vernon Zimmerman,Deadhead Miles,5.6,"Alan Arkin,Paul Benedict,Hector Elizondo,Oliver Clark",1972
ImdbItem,Lina WertmÃ_ller,The Seduction of Mimi,7.5,"Giancarlo Giannini,Mariangela Melato,Turi Ferro,Agostina Belli",1972
ImdbItem,Jan Troell,Das neue Land,8,"Max von Sydow,Liv Ullmann,Eddie Axberg,Pierre Lindstedt",1972
ImdbItem,Sergio Martino,Die Farben der Nacht,6.7,"George Hilton,Edwige Fenech,Ivan Rassimov,JuliÃ¡n Ugarte",1972
ImdbItem,Charlton Heston,Antony and Cleopatra,5.9,"Charlton Heston,Hildegard Neil,Eric Porter,John Castle",1972
ImdbItem,Franco Zeffirelli,"Brother Sun, Sister Moon",7.2,"Graham Faulkner,Judi Bowker,Leigh Lawson,Kenneth Cranham",1972
ImdbItem,Massimo Dallamano,What Have You Done to Solange?,7,"Fabio Testi,Cristina GalbÃ_,Karin Baal,Joachim Fuchsberger",1972
ImdbItem,Amando de Ossorio,Tombs of the Blind Dead,6.2,"Lone Fleming,CÃ©sar Burner,MarÃ_a Elena ArpÃ_n,JosÃ© Thelman",1972
ImdbItem,Sydney Pollack,Jeremiah Johnson,7.6,"Robert Redford,Will Geer,Delle Bolton,Josh Albee",1972
ImdbItem,Robert Altman,Images,7.2,"Susannah York,Rene Auberjonois,Marcel Bozzuffi,Hugh Millais",1972
ImdbItem,Chang-hwa Jeong,Five Fingers of Death,7.2,"Lieh Lo,Ping Wang,Hsiung Chao,Chin-Feng Wang",1972
ImdbItem,Bob Clark,Children Shouldn't Play with Dead Things,5.5,"Alan Ormsby,Valerie Mamches,Jeff Gillen,Anya Ormsby",1972
ImdbItem,Rainer Werner Fassbinder,The Bitter Tears of Petra von Kant,7.8,"Margit Carstensen,Hanna Schygulla,Katrin Schaake,Eva Mattes",1972
ImdbItem,Alan Gibson,Dracula A.D. 1972,6,"Christopher Lee,Peter Cushing,Stephanie Beacham,Christopher Neame",1972
ImdbItem,Pier Paolo Pasolini,The Canterbury Tales,6.5,"Hugh Griffith,Laura Betti,Ninetto Davoli,Franco Citti",1972
ImdbItem,Roy Ward Baker,Asylum,6.5,"Barbara Parkins,Richard Todd,Sylvia Syms,Peter Cushing",1972
ImdbItem,Barbet Schroeder,The Valley (Obscured by Clouds),6.5,"Bulle Ogier,Jean-Pierre Kalfon,Michael Gothard,ValÃ©rie Lagrange",1972
ImdbItem,Waris Hussein,Henry VIII and His Six Wives,7.1,"Keith Michell,Donald Pleasence,Charlotte Rampling,Jane Asher",1972
ImdbItem,Val Guest,Au Pair Girls,5,"Astrid Frank,Johnny Briggs,Gabrielle Drake,Me Me Lai",1972
ImdbItem,Umberto Lenzi,Sacrifice!,5.5,"Ivan Rassimov,Me Me Lai,Prasitsak Singhara,Sulallewan Suxantat",1972
ImdbItem,Bethel Buckalew,The Pig Keeper's Daughter,4.8,"Terry Gibson,Peggy Church,Gina Paluzzi,John Keith",1972
ImdbItem,Conrad Rooks,Siddhartha,6.7,"Shashi Kapoor,Simi Garewal,Romesh Sharma,Pinchoo Kapoor",1972
ImdbItem,Herschell Gordon Lewis,The Gore Gore Girls,5.4,"Frank Kress,Amy Farrell,Hedda Lubin,Henny Youngman",1972
ImdbItem,Lucio Fulci,Don't Torture a Duckling,7.1,"Florinda Bolkan,Barbara Bouchet,Tomas Milian,Irene Papas",1972
ImdbItem,Eugenio MartÃ_n,Horror Express,6.5,"Christopher Lee,Peter Cushing,Alberto de Mendoza,Silvia Tortosa",1972
ImdbItem,Gary Sherman,Raw Meat,6,"Donald Pleasence,Norman Rossington,David Ladd,Sharon Gurney",1972
ImdbItem,Jean-Pierre Melville,Un Flic,7.1,"Alain Delon,Richard Crenna,Catherine Deneuve,Riccardo Cucciolla",1972
ImdbItem,Peter Sykes,Demons of the Mind,5.5,"Robert Hardy,Shane Briant,Gillian Hills,Yvonne Mitchell",1972
ImdbItem,Peter H. Hunt,1776,7.6,"William Daniels,Howard Da Silva,Ken Howard,Donald Madden",1972
ImdbItem,Ossie Davis,Black Girl,7.1,"Brock Peters,Claudia McNeil,Leslie Uggams,Louise Stubbs",1972
ImdbItem,Michael Winner,The Mechanic,7,"Charles Bronson,Jan-Michael Vincent,Keenan Wynn,Jill Ireland",1972
ImdbItem,Brian De Palma,Sisters,7,"Margot Kidder,Jennifer Salt,Charles Durning,William Finley",1972
ImdbItem,William Sterling,Alice's Adventures in Wonderland,5.8,"Fiona Fullerton,Michael Jayston,Hywel Bennett,Michael Crawford",1972
ImdbItem,Bill Norton,Gargoyles,6.3,"Cornel Wilde,Jennifer Salt,Grayson Hall,Bernie Casey",1972
ImdbItem,Tom DeSimone,Prison Girls,3.9,"Jacqueline Giroux,Annik Borel,Tracy Handfuss,Maria Arnold",1972
ImdbItem,Ken Annakin,The Call of the Wild,5.9,"Charlton Heston,MichÃ¨le Mercier,Raimund Harmstorf,George Eastman",1972
ImdbItem,John Huston,The Life and Times of Judge Roy Bean,7,"Paul Newman,Ava Gardner,Roy Jenson,Gary Combs",1972
ImdbItem,Paul Bogart,The House Without a Christmas Tree,8.2,"Jason Robards,Mildred Natwick,Lisa Lucas,Kathryn Walker",1972
ImdbItem,Peter Newbrook,The Asphyx,6.3,"Robert Powell,Robert Stephens,Jane Lapotaire,Alex Scott",1972
ImdbItem,Yves Robert,The Tall Blond Man with One Black Shoe,7.3,"Pierre Richard,Bernard Blier,Jean Rochefort,Mireille Darc",1972
ImdbItem,Roman Polanski,What?,5.8,"Marcello Mastroianni,Sydne Rome,Hugh Griffith,Romolo Valli",1972
ImdbItem,Joseph L. Mankiewicz,Sleuth,8,"Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews",1972
ImdbItem,Arthur Hiller,Der Mann von La Mancha,6.6,"Peter O'Toole,Sophia Loren,James Coco,Harry Andrews",1972
ImdbItem,Ronald Neame,The Poseidon Adventure,7.1,"Gene Hackman,Ernest Borgnine,Shelley Winters,Red Buttons",1972
ImdbItem,Sidney Lumet,Child's Play,6,"James Mason,Robert Preston,Beau Bridges,Ron Weyand",1972
ImdbItem,Gerald Thomas,Carry on Abroad,6.5,"Sidney James,Kenneth Williams,Charles Hawtrey,Joan Sims",1972
ImdbItem,Sam Peckinpah,The Getaway,7.5,"Steve McQueen,Ali MacGraw,Ben Johnson,Sally Struthers",1972
ImdbItem,Billy Wilder,Avanti!,7.2,"Jack Lemmon,Juliet Mills,Clive Revill,Edward Andrews",1972
ImdbItem,Elaine May,The Heartbreak Kid,6.9,"Charles Grodin,Cybill Shepherd,Jeannie Berlin,Audra Lindley",1972
ImdbItem,George Cukor,Travels with My Aunt,6.4,"Maggie Smith,Alec McCowen,Louis Gossett Jr.,Robert Stephens",1972
ImdbItem,Barry Shear,Across 110th Street,7,"Anthony Quinn,Yaphet Kotto,Anthony Franciosa,Frank Adu",1972
ImdbItem,Paul Newman,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,7.6,"Joanne Woodward,Nell Potts,Roberta Wallach,Judith Lowry",1972
ImdbItem,Irvin Kershner,Up the Sandbox,6.6,"Barbra Streisand,David Selby,Ariane Heller,Terry Smith",1972
ImdbItem,Jacques Deray,The Outside Man,6.6,"Jean-Louis Trintignant,Ann-Margret,Roy Scheider,Angie Dickinson",1972
ImdbItem,Norman Tokar,Snowball Express,6.5,"Dean Jones,Nancy Olson,Harry Morgan,Keenan Wynn",1972
ImdbItem,Michael Tuchner,Fear Is the Key,6.3,"Barry Newman,Suzy Kendall,John Vernon,Dolph Sweet",1972
ImdbItem,Tonino Valerii,"A Reason to Live, a Reason to Die",6.2,"James Coburn,Telly Savalas,Bud Spencer,Georges GÃ©ret",1972
ImdbItem,Werner Herzog,"Aguirre, the Wrath of God",8,"Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro",1972
ImdbItem,Giancarlo Santi,The Grand Duel,6.5,"Lee Van Cleef,Alberto Dentice,Jess Hahn,Horst Frank",1972
ImdbItem,Jerry Lewis,The Day the Clown Cried,,"Jerry Lewis,Peter Ahlm,Lars Amble,Harriet Andersson",1972
ImdbItem,Perry Henzell,The Harder They Come,7,"Jimmy Cliff,Janet Bartley,Carl Bradshaw,Ras Daniel Hartman",1972
ImdbItem,Donald W. Thompson,A Thief in the Night,4.9,"Patty Dunning,Mike Niday,Colleen Niday,Maryann Rachford",1972
ImdbItem,Sidney Lumet,The Offence,7,"Sean Connery,Trevor Howard,Vivien Merchant,Ian Bannen",1973
ImdbItem,Dan Curtis,The Night Strangler,7.6,"Darren McGavin,Jo Ann Pflug,Simon Oakland,Scott Brady",1973
ImdbItem,Eddie Romero,Frauen in Ketten,5.6,"Pam Grier,Margaret Markov,Sid Haig,Lynn Borden",1973
ImdbItem,John Korty,Go Ask Alice,6.5,"William Shatner,Ruth Roman,Wendell Burton,Julie Adams",1973
ImdbItem,"Robert Hendrickson,Laurence Merrick",Manson,7.4,"Mary Brunner,Vincent Bugliosi,Bruce Davis,Lynette Fromme",1973
ImdbItem,Fernando Di Leo,The Boss,7,"Henry Silva,Richard Conte,Gianni Garko,Antonia Santilli",1973
ImdbItem,Robert Scheerer,The World's Greatest Athlete,5.7,"John Amos,Jan-Michael Vincent,Tim Conway,Roscoe Lee Browne",1973
ImdbItem,Burt Kennedy,The Train Robbers,6.5,"John Wayne,Ann-Margret,Rod Taylor,Ben Johnson",1973
ImdbItem,Larry Cohen,Black Caesar,6.4,"Fred Williamson,Gloria Hendry,Art Lund,D'Urville Martin",1973
ImdbItem,Freddie Francis,The Creeping Flesh,6.3,"Christopher Lee,Peter Cushing,Lorna Heilbron,George Benson",1973
ImdbItem,John G. Avildsen,Save the Tiger,6.9,"Jack Lemmon,Jack Gilford,Laurie Heineman,Norman Burton",1973
ImdbItem,Richard C. Sarafian,Lolly-Madonna XXX,6.5,"Rod Steiger,Robert Ryan,Jeff Bridges,Scott Wilson",1973
ImdbItem,Phil Karlson,Walking Tall,7,"Joe Don Baker,Elizabeth Hartman,Leif Garrett,Dawn Lyn",1973
ImdbItem,"Charles A. Nichols,Iwao Takamoto",Charlotte's Web,6.9,"Debbie Reynolds,Henry Gibson,Paul Lynde,Rex Allen",1973
ImdbItem,Paul Verhoeven,Turkish Delight,7.2,"Monique van de Ven,Rutger Hauer,Tonny Huurdeman,Wim van den Brink",1973
ImdbItem,Lina WertmÃ_ller,Liebe und Anarchie,7.9,"Giancarlo Giannini,Mariangela Melato,Eros Pagni,Pina Cei",1973
ImdbItem,Leslie Stevens,I Love a Mystery,7.5,"Ida Lupino,Les Crane,David Hartman,Hagan Beggs",1973
ImdbItem,Lionel Jeffries,Baxter!,7,"Patricia Neal,Jean-Pierre Cassel,Britt Ekland,Lynn Carlin",1973
ImdbItem,Robert Altman,The Long Goodbye,7.7,"Elliott Gould,Nina van Pallandt,Sterling Hayden,Mark Rydell",1973
ImdbItem,Richard Irving,The Six Million Dollar Man,7.1,"Lee Majors,Barbara Anderson,Martin Balsam,Darren McGavin",1973
ImdbItem,Howard Zieff,Slither,6.2,"James Caan,Peter Boyle,Sally Kellerman,Louise Lasser",1973
ImdbItem,Charles Jarrott,Lost Horizon,5.3,"Peter Finch,Liv Ullmann,Sally Kellerman,George Kennedy",1973
ImdbItem,Don Taylor,Tom Sawyer,6.5,"Johnny Whitaker,Celeste Holm,Warren Oates,Jeff East",1973
ImdbItem,Fons Rademakers,C.A.T.S.,5.7,"Bryan Marshall,Alexandra Stewart,Edward Judd,Sebastian Graham Jones",1973
ImdbItem,George A. Romero,The Crazies,6.1,"Lane Carroll,Will MacMillan,Harold Wayne Jones,Lloyd Hollar",1973
ImdbItem,Douglas Hickox,Theater of Blood,7.2,"Vincent Price,Diana Rigg,Ian Hendry,Harry Andrews",1973
ImdbItem,Roy Ward Baker,The Vault of Horror,6.6,"Curd JÃ_rgens,Terry-Thomas,Tom Baker,Daniel Massey",1973
ImdbItem,David Greene,Godspell,6.5,"Victor Garber,Lynne Thigpen,Katie Hanley,David Haskell",1973
ImdbItem,Salvatore Samperi,Malicious,6.5,"Laura Antonelli,Turi Ferro,Alessandro Momo,Tina Aumont",1973
ImdbItem,Russ Meyer,Black Snake,5.1,"Anouska Hempel,David Warbeck,Percy Herbert,Thomas Baptiste",1973
ImdbItem,Ted Post,The Baby,6.1,"Anjanette Comer,Ruth Roman,Marianna Hill,Susanne Zenor",1973
ImdbItem,Paul Glickler,The Cheerleaders,5.5,"Stephanie Fondue,Denise Dillaway,Jovita Bush,Brandy Woods",1973
ImdbItem,Michael Campus,The Mack,6.7,"Max Julien,Don Gordon,Richard Pryor,Carol Speed",1973
ImdbItem,Clint Eastwood,High Plains Drifter,7.6,"Clint Eastwood,Verna Bloom,Marianna Hill,Mitchell Ryan",1973
ImdbItem,Peter Bogdanovich,Paper Moon,8.1,"Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman",1973
ImdbItem,Patrick Garland,A Doll's House,6.5,"Claire Bloom,Anthony Hopkins,Ralph Richardson,Denholm Elliott",I 1973
ImdbItem,Jerry Schatzberg,Scarecrow,7.3,"Gene Hackman,Al Pacino,Dorothy Tristan,Ann Wedgeworth",1973
ImdbItem,Michael Winner,Scorpio,6.5,"Burt Lancaster,Alain Delon,Paul Scofield,John Colicos",1973
ImdbItem,Claude Whatham,That'll Be the Day,6.7,"David Essex,Ringo Starr,Rosemary Leach,James Booth",1973
ImdbItem,Richard Fleischer,Soylent Green,7.1,"Charlton Heston,Edward G. Robinson,Leigh Taylor-Young,Chuck Connors",1973
ImdbItem,Alan J. Pakula,Love and Pain and the Whole Damn Thing,7,"Maggie Smith,Timothy Bottoms,Don Jaime de Mora y AragÃ_n,Emiliano Redondo",1973
ImdbItem,Ennio De Concini,Hitler: The Last Ten Days,6.7,"Alec Guinness,Simon Ward,Adolfo Celi,Diane Cilento",1973
ImdbItem,Roy Ward Baker,And Now the Screaming Starts!,6,"Peter Cushing,Herbert Lom,Patrick Magee,Stephanie Beacham",1973
ImdbItem,Ivan Reitman,Cannibal Girls - Der Film mit der Warnglocke,4.5,"Eugene Levy,Andrea Martin,Ronald Ulrich,Randall Carpenter",1973
ImdbItem,"Willard Huyck,Gloria Katz",Messiah of Evil,6.5,"Michael Greer,Marianna Hill,Joy Bang,Anitra Ford",1973
ImdbItem,Lindsay Anderson,O Lucky Man!,7.8,"Malcolm McDowell,Ralph Richardson,Rachel Roberts,Arthur Lowe",1973
ImdbItem,Burt Brinckerhoff,Steambath,8.1,"Stephen Elliott,Bill Bixby,Herb Edelman,Neil J. Schwartz",1973
ImdbItem,RenÃ© Laloux,Fantastic Planet,7.8,"Barry Bostwick,Jennifer Drake,Eric Baugin,Jean Topart",1973
ImdbItem,Ted Post,The Harrad Experiment,4.6,"Don Johnson,James Whitmore,Tippi Hedren,Bruno Kirby",1973
ImdbItem,FranÃ§ois Truffaut,Day for Night,8.1,"Jacqueline Bisset,Jean-Pierre LÃ©aud,FranÃ§ois Truffaut,Valentina Cortese",1973
ImdbItem,Fred Zinnemann,The Day of the Jackal,7.8,"Edward Fox,Terence Alexander,Michel Auclair,Alan Badel",1973
ImdbItem,S.F. Brownrigg,Don't Look in the Basement,5.2,"Bill McGhee,Jessie Lee Fulton,Robert Dracup,Harryette Warren",1973
ImdbItem,Jean Eustache,The Mother and the Whore,8.1,"Bernadette Lafont,Jean-Pierre LÃ©aud,FranÃ§oise Lebrun,Isabelle Weingarten",1973
ImdbItem,Marco Ferreri,La Grande Bouffe,7.2,"Marcello Mastroianni,Michel Piccoli,Philippe Noiret,Ugo Tognazzi",1973
ImdbItem,Sam Peckinpah,Pat Garrett & Billy the Kid,7.4,"James Coburn,Kris Kristofferson,Richard Jaeckel,Katy Jurado",1973
ImdbItem,Sidney Poitier,A Warm December,6,"Sidney Poitier,Ester Anderson,Yvette Curtis,George Baker",1973
ImdbItem,Robert Aldrich,Emperor of the North,7.3,"Lee Marvin,Ernest Borgnine,Keith Carradine,Charles Tyner",1973
ImdbItem,Melvin Frank,A Touch of Class,6.5,"George Segal,Glenda Jackson,Paul Sorvino,K Callan",1973
ImdbItem,Alejandro Jodorowsky,The Holy Mountain,7.9,"Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara",1973
ImdbItem,Jack Hill,Coffy,6.9,"Pam Grier,Booker Bradshaw,Robert DoQui,William Elliott",1973
ImdbItem,Bo Arne Vibenius,Thriller: A Cruel Picture,6.5,"Christina Lindberg,Heinz Hopf,Despina Tomazani,Per-Axel Arosenius",1973
ImdbItem,Arthur Barron,Jeremy,7,"Robby Benson,Glynnis O'Connor,Len Bari,Leonardo Cimino",1973
ImdbItem,Alan Bridges,The Hireling,6.8,"Robert Shaw,Sarah Miles,Peter Egan,Caroline Mortimer",1973
ImdbItem,Denis Sanders,Invasion of the Bee Girls,5,"William Smith,Anitra Ford,Victoria Vetri,Cliff Osmond",1973
ImdbItem,"Barrie McLean,Kristen Weingartner",Golden Apples of the Sun,2.1,"Elizabeth Suzuki,Percy Harkness,Leon Morenzie,Derek Lamb",1973
ImdbItem,Herbert Ross,The Last of Sheila,7.3,"Richard Benjamin,James Coburn,James Mason,Dyan Cannon",1973
ImdbItem,John Guillermin,Shaft in Africa,6,"Richard Roundtree,Frank Finlay,Vonetta McGee,Neda Arneric",1973
ImdbItem,John Hough,The Legend of Hell House,6.8,"Roddy McDowall,Gayle Hunnicutt,Pamela Franklin,Clive Revill",1973
ImdbItem,J. Lee Thompson,Battle for the Planet of the Apes,5.5,"Roddy McDowall,Claude Akins,Natalie Trundy,Severn Darden",1973
ImdbItem,Peter Fonda,Idaho Transfer,5.4,"Kelly Bohanon,Kevin Hearst,Caroline Hildebrand,Keith Carradine",1973
ImdbItem,Paul Mazursky,Blume in Love,6.4,"George Segal,Susan Anspach,Kris Kristofferson,Marsha Mason",1973
ImdbItem,John Milius,Dillinger,7,"Warren Oates,Ben Johnson,Michelle Phillips,Cloris Leachman",1973
ImdbItem,Peter Yates,The Friends of Eddie Coyle,7.5,"Robert Mitchum,Peter Boyle,Richard Jordan,Steven Keats",1973
ImdbItem,Guy Hamilton,Live and Let Die,6.8,"Roger Moore,Yaphet Kotto,Jane Seymour,Clifton James",1973
ImdbItem,Bob Kelljan,Scream Blacula Scream,5.7,"William Marshall,Don Mitchell,Pam Grier,Michael Conrad",1973
ImdbItem,Milton Katselas,40 Carats,6.3,"Liv Ullmann,Edward Albert,Gene Kelly,Binnie Barnes",1973
ImdbItem,Leonid Gaidai,Ivan Vasilievich: Back to the Future,8.4,"Yuriy Yakovlev,Leonid Kuravlyov,Aleksandr Demyanenko,Saveliy Kramarov",1973
ImdbItem,Guerdon Trueblood,The Candy Snatchers,6.5,"Tiffany Bolling,Ben Piazza,Susan Sennett,Brad David",1973
ImdbItem,Peter Duffell,England Made Me,6.3,"Peter Finch,Michael York,Hildegard Neil,Joss Ackland",1973
ImdbItem,Andrew V. McLaglen,Cahill U.S. Marshal,6.5,"John Wayne,George Kennedy,Gary Grimes,Neville Brand",1973
ImdbItem,John Landis,Schlock,5.9,"John Landis,Saul Kahan,Joseph Piantadosi,Richard Gillis",1973
ImdbItem,Jack Starrett,Cleopatra Jones,5.8,"Tamara Dobson,Bernie Casey,Brenda Sykes,Antonio Fargas",1973
ImdbItem,Tom Gries,Lady Ice,4.7,"Donald Sutherland,Jennifer O'Neill,Robert Duvall,Patrick Magee",1973
ImdbItem,John Huston,The MacKintosh Man,6.3,"Paul Newman,Dominique Sanda,James Mason,Harry Andrews",1973
ImdbItem,Robert Clouse,Der Mann mit der Todeskralle,7.7,"Bruce Lee,John Saxon,Jim Kelly,Ahna Capri",1973
ImdbItem,Lamont Johnson,The Last American Hero,6.4,"Jeff Bridges,Valerie Perrine,Geraldine Fitzgerald,Ned Beatty",1973
ImdbItem,Hrishikesh Mukherjee,Abhimaan,8,"Amitabh Bachchan,Jaya Bhaduri,Asrani,Bindu",1973
ImdbItem,Bernard L. Kowalski,Sssssss,5.4,"Strother Martin,Dirk Benedict,Heather Menzies-Urich,Richard B. Shull",1973
ImdbItem,George Lucas,American Graffiti,7.5,"Richard Dreyfuss,Ron Howard,Paul Le Mat,Charles Martin Smith",1973
ImdbItem,Norman Jewison,Jesus Christ Superstar,7.3,"Ted Neeley,Carl Anderson,Yvonne Elliman,Barry Dennen",1973
ImdbItem,Joseph Sargent,White Lightning,6.4,"Burt Reynolds,Jennifer Billingsley,Ned Beatty,Bo Hopkins",1973
ImdbItem,Ralph Bakshi,Heavy Traffic,6.7,"Joseph Kaufmann,Beverly Hope Atkinson,Frank DeKova,Terri Haven",1973
ImdbItem,Michael Winner,The Stone Killer,6.3,"Charles Bronson,Martin Balsam,Jack Colvin,Paul Koslo",1973
ImdbItem,Brian G. Hutton,Night Watch,6.4,"Elizabeth Taylor,Laurence Harvey,Billie Whitelaw,Robert Lang",1973
ImdbItem,Aram Avakian,Cops and Robbers,6.3,"Cliff Gorman,Joseph Bologna,Charlene Dallas,James Ferguson",1973
ImdbItem,"Joe Boyd,John Head,Gary Weis",Jimi Hendrix,7.9,"Arthur Allen,Albert Allen,Stella Benabon,Eric Barrett",1973
ImdbItem,Michael Crichton,Westworld,7,"Yul Brynner,Richard Benjamin,James Brolin,Norman Bartold",1973
ImdbItem,James William Guercio,Electra Glide in Blue,7.2,"Robert Blake,Billy Green Bush,Mitchell Ryan,Jeannine Riley",1973
ImdbItem,John D. Hancock,Bang the Drum Slowly,7,"Michael Moriarty,Robert De Niro,Vincent Gardenia,Phil Foster",1973
ImdbItem,Arthur Marks,Detroit 9000,6.4,"Alex Rocco,Hari Rhodes,Vonetta McGee,Herbert Jefferson Jr.",1973
ImdbItem,Maximilian Schell,The Pedestrian,6.8,"Gustav Rudolf Sellner,Peter Hall,Maximilian Schell,Gila von Weitershausen",1973
ImdbItem,"John Sturges,Duilio Coletti",Chino,6.1,"Charles Bronson,Jill Ireland,Marcel Bozzuffi,Vincent Van Patten",1973
ImdbItem,Bethel Buckalew,The Dirty Mind of Young Sally,5.3,"Colleen Brennan,George 'Buck' Flower,Norman Fields,James Mathers",1973
ImdbItem,Sidney J. Furie,Hit!,6.2,"Billy Dee Williams,Richard Pryor,Paul Hampton,Gwen Welles",1973
ImdbItem,Don Siegel,Charley Varrick,7.5,"Walter Matthau,Joe Don Baker,Felicia Farr,Andrew Robinson",1973
ImdbItem,Ivan Dixon,The Spook Who Sat by the Door,7.2,"Lawrence Cook,Janet League,Paula Kelly,J.A. Preston",1973
ImdbItem,Bruce Geller,Harry in Your Pocket,6.4,"James Coburn,Michael Sarrazin,Trish Van Devere,Walter Pidgeon",1973
ImdbItem,Sergio Sollima,In the Name of Love,7.5,"Oliver Reed,Fabio Testi,Paola Pitagora,Agostina Belli",1973
ImdbItem,Fielder Cook,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,6.2,"Ingrid Bergman,Sally Prager,Johnny Doran,George Rose",1973
ImdbItem,VÃ_ctor Erice,The Spirit of the Beehive,8,"Fernando FernÃ¡n GÃ_mez,Teresa Gimpera,Ana Torrent,Isabel TellerÃ_a",1973
ImdbItem,Ed Forsyth,Superchick,3.3,"Joyce Jillson,Louis Quinn,Thomas Reardon,Tony Young",1973
ImdbItem,Martin Scorsese,Mean Streets,7.3,"Robert De Niro,Harvey Keitel,David Proval,Amy Robinson",1973
ImdbItem,Robert Fuest,The Final Programme,5.6,"Jon Finch,Jenny Runacre,Sterling Hayden,Harry Andrews",1973
ImdbItem,George P. Cosmatos,Massacre in Rome,6.5,"Richard Burton,Marcello Mastroianni,Leo McKern,John Steiner",1973
ImdbItem,John Sichel,The Merchant of Venice,7.5,"Laurence Olivier,Joan Plowright,Jeremy Brett,Michael Jayston",1973
ImdbItem,John Newland,Don't Be Afraid of the Dark,6.9,"Kim Darby,Jim Hutton,Barbara Anderson,William Demarest",1973
ImdbItem,Nicolas Roeg,Don't Look Now,7.3,"Julie Christie,Donald Sutherland,Hilary Mason,Clelia Matania",1973
ImdbItem,Terrence Malick,Badlands,7.9,"Martin Sheen,Sissy Spacek,Warren Oates,Ramon Bieri",1973
ImdbItem,Sydney Pollack,The Way We Were,7.1,"Barbra Streisand,Robert Redford,Bradford Dillman,Lois Chiles",1973
ImdbItem,James Bridges,The Paper Chase,7.2,"Timothy Bottoms,Lindsay Wagner,John Houseman,Graham Beckel",1973
ImdbItem,John Flynn,The Outfit,7.1,"Robert Duvall,Karen Black,Joe Don Baker,Robert Ryan",1973
ImdbItem,Francesco Rosi,Lucky Luciano,6.4,"Gian Maria VolontÃ¨,Vincent Gardenia,Silverio Blasi,Charles Cioffi",1973
ImdbItem,Hall Bartlett,Jonathan Livingston Seagull,6,"James Franciscus,Juliet Mills,Philip Ahn,David Ladd",1973
ImdbItem,Peter Hall,The Homecoming,7.1,"Cyril Cusack,Ian Holm,Paul Rogers,Terence Rigby",1973
ImdbItem,Fernando Di Leo,Seduction,6.4,"Lisa Gastoni,Maurice Ronet,Jenny Tamburi,Pino Caruso",1973
ImdbItem,Freddie Francis,Tales That Witness Madness,5.7,"Jack Hawkins,Donald Pleasence,Georgia Brown,Donald Houston",1973
ImdbItem,VÃ¡clav VorlÃ_cek,Three Wishes for Cinderella,7.9,"Libuse SafrÃ¡nkovÃ¡,Pavel TrÃ¡vnÃ_cek,Carola Braunbock,Rolf Hoppe",1973
ImdbItem,Alan Gibson,The Satanic Rites of Dracula,5.6,"Christopher Lee,Peter Cushing,Michael Coles,William Franklyn",1973
